epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,83.8554,1.2321,1.07257,0.0103,0.72711,0.94561,0.88804,0.56587,1.30212,0.7626,0.01152,0.00955072,0.00955072,0.00955072
43,85.4321,1.20308,1.16797,0.01067,0.79878,0.90323,0.90531,0.59274,1.23584,0.73219,0.01049,0.00952889,0.00952889,0.00952889
44,87.2666,1.19713,1.10464,0.01085,0.7621,0.74194,0.85641,0.55207,1.28669,0.818,0.01092,0.00950658,0.00950658,0.00950658
45,88.8442,1.17086,1.09166,0.01024,0.74429,0.90323,0.89904,0.55659,1.40648,0.6999,0.01223,0.00948377,0.00948377,0.00948377
46,90.5669,1.1971,0.9483,0.01052,0.84667,0.83871,0.93219,0.59811,1.23982,0.72337,0.01021,0.00946048,0.00946048,0.00946048
47,92.3398,1.21451,0.96957,0.0108,1,0.86701,0.98308,0.68615,1.18858,0.53343,0.00983,0.00943671,0.00943671,0.00943671
48,93.9742,1.23386,0.97925,0.01161,0.92945,0.90323,0.97005,0.59792,1.43453,0.70539,0.01251,0.00941245,0.00941245,0.00941245
49,95.5327,1.2588,0.91254,0.01114,0.9652,0.89494,0.9801,0.68551,1.19562,0.58672,0.01005,0.00938772,0.00938772,0.00938772
50,97.1162,1.2003,0.87034,0.01063,0.94678,0.93548,0.98726,0.66245,1.18528,0.47195,0.01,0.00936251,0.00936251,0.00936251
51,99.3005,1.25676,0.93736,0.01056,0.89875,0.85929,0.92072,0.64068,1.18552,0.57721,0.01008,0.00933683,0.00933683,0.00933683
52,101.017,1.18134,0.84329,0.0094,0.8252,0.93548,0.92466,0.63455,1.15881,0.63187,0.00989,0.00931067,0.00931067,0.00931067
53,102.736,1.14757,0.91085,0.00988,0.87425,0.89725,0.94726,0.65138,1.15173,0.59056,0.00986,0.00928405,0.00928405,0.00928405
54,104.487,1.15417,0.88138,0.01037,0.85089,0.93548,0.96895,0.63392,1.28779,0.62813,0.01155,0.00925697,0.00925697,0.00925697
55,106.315,1.14854,0.82358,0.00971,0.8828,0.80645,0.93975,0.60803,1.37055,0.7303,0.01237,0.00922942,0.00922942,0.00922942
56,108.318,1.18984,0.86615,0.01001,0.9036,0.90323,0.97536,0.53975,1.69394,0.60689,0.01613,0.00920142,0.00920142,0.00920142
57,110.454,1.23296,0.96339,0.01029,0.89915,0.83871,0.95185,0.54297,1.58256,0.61353,0.01472,0.00917296,0.00917296,0.00917296
58,112.4,1.17056,0.85365,0.01027,0.87786,0.9276,0.94972,0.4589,1.88907,0.6791,0.01877,0.00914405,0.00914405,0.00914405
59,114.233,1.15815,0.81358,0.01011,0.90651,0.90323,0.96779,0.50132,1.80746,0.60357,0.01676,0.00911469,0.00911469,0.00911469
60,115.977,1.0844,0.76269,0.00898,0.85115,0.92254,0.95826,0.65427,1.1925,0.50541,0.01072,0.00908488,0.00908488,0.00908488
61,117.755,1.18659,0.86838,0.0099,0.81029,0.96774,0.95187,0.62402,1.31364,0.58779,0.01162,0.00905463,0.00905463,0.00905463
62,119.473,1.25858,0.82958,0.0104,0.84635,0.88871,0.9336,0.63169,1.25098,0.6212,0.01089,0.00902395,0.00902395,0.00902395
63,121.375,1.25186,0.74498,0.0103,0.83605,0.98722,0.96906,0.65555,1.22538,0.5496,0.01057,0.00899282,0.00899282,0.00899282
64,123.478,1.09998,0.76932,0.00919,0.92834,0.83585,0.95904,0.67069,1.21114,0.61744,0.0101,0.00896127,0.00896127,0.00896127
65,125.284,1.15868,0.78447,0.00917,0.9607,0.93548,0.97689,0.67937,1.14971,0.5008,0.00968,0.00892928,0.00892928,0.00892928
66,127.011,1.16568,0.76172,0.01009,1,0.95876,0.99083,0.65448,1.30121,0.469,0.01157,0.00889687,0.00889687,0.00889687
67,128.611,1.17026,0.79835,0.01006,0.99478,0.93548,0.98987,0.66518,1.32118,0.44474,0.0113,0.00886404,0.00886404,0.00886404
68,130.482,1.12012,0.70884,0.00894,0.93543,0.93471,0.97673,0.68645,1.16667,0.47342,0.00974,0.00883079,0.00883079,0.00883079
69,132.603,1.16072,0.68281,0.01012,0.91336,0.87097,0.96292,0.68284,1.05867,0.5201,0.00869,0.00879713,0.00879713,0.00879713
70,134.398,1.25283,0.76677,0.01004,0.87813,0.92989,0.96496,0.65582,1.23221,0.55094,0.01054,0.00876305,0.00876305,0.00876305
71,136.05,1.14421,0.72387,0.00958,0.92392,0.83871,0.95882,0.64865,1.26153,0.5414,0.0112,0.00872857,0.00872857,0.00872857
72,137.814,1.1485,0.72757,0.00914,0.92105,0.83871,0.95003,0.5669,1.53055,0.61118,0.01407,0.00869368,0.00869368,0.00869368
73,140.17,1.10963,0.70174,0.01017,0.9277,0.82803,0.95408,0.62879,1.35152,0.53825,0.01224,0.00865839,0.00865839,0.00865839
74,142.212,1.19792,0.7712,0.01037,0.92696,0.87097,0.97223,0.69754,1.15068,0.45337,0.00962,0.00862271,0.00862271,0.00862271
75,144.188,1.1478,0.63378,0.01008,0.88455,0.93548,0.9712,0.59128,1.48067,0.57622,0.01332,0.00858664,0.00858664,0.00858664
76,146.379,1.16548,0.63624,0.00867,0.97446,0.87097,0.97462,0.64983,1.23137,0.4543,0.01057,0.00855018,0.00855018,0.00855018
77,148.611,1.09412,0.62891,0.00928,0.93066,0.86602,0.96507,0.64259,1.19981,0.52165,0.01058,0.00851333,0.00851333,0.00851333
78,150.34,1.16435,0.68133,0.01031,0.92779,0.93548,0.96978,0.64963,1.26095,0.46589,0.01126,0.00847611,0.00847611,0.00847611
79,152.121,1.18263,0.78061,0.01001,0.88163,0.96123,0.96895,0.65696,1.10591,0.49307,0.0096,0.00843851,0.00843851,0.00843851
80,154.231,1.08313,0.65146,0.00948,0.90851,0.96116,0.9789,0.67465,1.15175,0.49387,0.00973,0.00840054,0.00840054,0.00840054
81,156.407,1.10998,0.67293,0.01021,0.90521,0.92444,0.97554,0.67971,1.13244,0.53038,0.00967,0.0083622,0.0083622,0.0083622
82,158.41,1.04574,0.58724,0.00859,0.93081,0.93548,0.97747,0.64665,1.27346,0.51246,0.0109,0.00832349,0.00832349,0.00832349
