epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,379.692,0.86094,0.43832,0.00703,0.9686,0.99534,0.99312,0.74536,1.027,0.33223,0.00846,0.00352037,0.00352037,0.00352037
182,382.384,0.83383,0.37724,0.00722,1,0.99756,0.995,0.73344,1.05435,0.31017,0.00895,0.00347115,0.00347115,0.00347115
183,384.715,0.91678,0.47878,0.00776,1,0.99926,0.995,0.72775,1.13232,0.32996,0.00967,0.00342211,0.00342211,0.00342211
184,387.015,0.91039,0.46238,0.00713,0.91133,1,0.98414,0.70944,1.07708,0.36084,0.00887,0.00337325,0.00337325,0.00337325
185,389.349,0.84882,0.3588,0.00733,0.96772,0.96696,0.99221,0.71452,1.11785,0.35061,0.0094,0.00332457,0.00332457,0.00332457
186,391.811,0.85437,0.52321,0.00715,0.96219,0.96774,0.98964,0.71662,1.07831,0.35881,0.00887,0.00327608,0.00327608,0.00327608
187,394.284,0.90858,0.43694,0.00755,0.96652,0.96774,0.99318,0.72561,1.06791,0.32589,0.00902,0.00322778,0.00322778,0.00322778
188,396.531,0.93228,0.47319,0.00745,0.9687,0.99843,0.99312,0.7279,1.01736,0.30807,0.00839,0.00317969,0.00317969,0.00317969
189,398.738,0.88621,0.4231,0.00726,0.96607,1,0.99312,0.71324,1.04596,0.31621,0.00861,0.0031318,0.0031318,0.0031318
190,401.718,0.85072,0.452,0.00721,0.99876,0.96774,0.99318,0.71466,1.09436,0.35387,0.00921,0.00308412,0.00308412,0.00308412
191,404.144,0.88526,0.41958,0.00722,0.99732,1,0.995,0.72277,1.0414,0.29184,0.00863,0.00303665,0.00303665,0.00303665
192,406.259,0.88859,0.39961,0.00727,0.99598,0.96774,0.99406,0.73079,1.02395,0.30226,0.0085,0.00298941,0.00298941,0.00298941
193,408.499,0.80089,0.3852,0.00674,0.99776,1,0.995,0.73718,1.01854,0.32672,0.00853,0.00294239,0.00294239,0.00294239
194,411.453,0.85838,0.46905,0.007,0.96867,0.99732,0.99406,0.74255,1.00827,0.30307,0.00811,0.00289561,0.00289561,0.00289561
195,414.206,0.9621,0.4985,0.00728,0.99212,1,0.995,0.73975,1.01543,0.31116,0.00813,0.00284906,0.00284906,0.00284906
196,416.809,0.85769,0.39463,0.00679,1,0.99627,0.995,0.72471,1.0148,0.29728,0.00798,0.00280275,0.00280275,0.00280275
197,419.225,0.85621,0.36644,0.00776,0.99885,1,0.995,0.73878,1.04128,0.2723,0.00833,0.00275668,0.00275668,0.00275668
198,422.216,0.88821,0.40754,0.00719,0.99778,1,0.995,0.74383,1.03617,0.2758,0.00848,0.00271087,0.00271087,0.00271087
199,424.446,0.86245,0.37636,0.00737,1,0.96407,0.99318,0.74299,1.04262,0.3003,0.00869,0.00266532,0.00266532,0.00266532
200,426.94,0.8266,0.39058,0.00718,1,0.92998,0.99048,0.73784,1.04065,0.35184,0.0085,0.00262003,0.00262003,0.00262003
201,429.55,0.87977,0.40637,0.00728,0.96104,0.96774,0.9906,0.74147,1.01518,0.32484,0.0082,0.002575,0.002575,0.002575
202,431.746,0.86929,0.40855,0.00779,0.93913,0.99551,0.98936,0.73344,1.0194,0.325,0.00814,0.00253024,0.00253024,0.00253024
203,433.815,0.84505,0.38552,0.0066,0.96434,1,0.99219,0.73531,1.04634,0.30725,0.00853,0.00248577,0.00248577,0.00248577
204,436.35,0.83749,0.38104,0.00741,1,0.93099,0.98971,0.72025,1.03767,0.32881,0.00844,0.00244157,0.00244157,0.00244157
205,438.775,0.87546,0.40177,0.00639,0.93868,0.9879,0.99036,0.72768,1.02607,0.33386,0.00842,0.00239766,0.00239766,0.00239766
206,441.13,0.89106,0.42173,0.00656,0.94266,0.96774,0.9889,0.74288,1.0567,0.34539,0.00878,0.00235404,0.00235404,0.00235404
207,443.665,0.86615,0.38231,0.00688,0.93887,0.99108,0.99125,0.73817,1.02431,0.31521,0.00817,0.00231071,0.00231071,0.00231071
208,445.898,0.87312,0.44227,0.00744,1,0.99843,0.995,0.73767,1.01422,0.28972,0.00825,0.00226769,0.00226769,0.00226769
209,448.283,0.83399,0.42197,0.00696,1,0.99786,0.995,0.75056,0.99474,0.27226,0.00811,0.00222497,0.00222497,0.00222497
210,450.988,0.84481,0.37295,0.00722,1,0.96337,0.99406,0.75044,0.99147,0.2827,0.00812,0.00218256,0.00218256,0.00218256
211,453.62,0.91033,0.42907,0.00712,0.99287,1,0.995,0.74758,0.97295,0.27457,0.00795,0.00214046,0.00214046,0.00214046
212,456.092,0.86543,0.44711,0.00707,1,0.99786,0.995,0.75293,0.96128,0.25644,0.00779,0.00209869,0.00209869,0.00209869
213,458.83,0.88003,0.37981,0.00781,0.99943,1,0.995,0.74694,0.966,0.25532,0.00784,0.00205723,0.00205723,0.00205723
214,461.598,0.82716,0.36178,0.00684,1,0.99459,0.995,0.74474,0.96156,0.26294,0.00783,0.00201611,0.00201611,0.00201611
215,464.457,0.794,0.34556,0.00717,0.96594,1,0.99406,0.75375,0.99661,0.28378,0.00814,0.00197532,0.00197532,0.00197532
216,466.927,0.83114,0.40724,0.00677,1,0.99732,0.995,0.73131,1.03744,0.27386,0.00842,0.00193486,0.00193486,0.00193486
217,470.135,0.84548,0.37148,0.00705,1,0.99802,0.995,0.73567,1.03947,0.2741,0.00841,0.00189475,0.00189475,0.00189475
218,472.728,0.87134,0.45816,0.00742,1,0.9961,0.995,0.7451,1.01837,0.275,0.00831,0.00185498,0.00185498,0.00185498
219,475.243,0.77188,0.3574,0.00711,0.96703,1,0.99312,0.7578,1.0002,0.28367,0.00825,0.00181557,0.00181557,0.00181557
220,478.175,0.77987,0.33133,0.00626,0.99639,1,0.995,0.73362,1.02964,0.27788,0.00835,0.00177651,0.00177651,0.00177651
221,480.639,0.89766,0.4467,0.00759,0.9974,1,0.995,0.7616,0.99365,0.28212,0.00812,0.0017378,0.0017378,0.0017378
222,483.137,0.81194,0.40938,0.00627,0.99222,1,0.995,0.74347,0.99631,0.29295,0.00811,0.00169946,0.00169946,0.00169946
223,486.21,0.85929,0.41541,0.0069,0.99879,1,0.995,0.74417,1.00006,0.26857,0.00809,0.00166149,0.00166149,0.00166149
224,489.04,0.84043,0.40772,0.0062,0.99997,1,0.995,0.75261,1.03041,0.28543,0.00843,0.00162389,0.00162389,0.00162389
225,491.774,0.75886,0.34258,0.00653,0.96851,0.99247,0.99406,0.74603,1.01897,0.30108,0.00835,0.00158667,0.00158667,0.00158667
226,494.57,0.80449,0.33195,0.00732,1,0.99791,0.995,0.74029,1.00018,0.27361,0.00819,0.00154982,0.00154982,0.00154982
227,497.248,0.83026,0.39768,0.00639,0.99747,1,0.995,0.74395,1.01422,0.26935,0.00821,0.00151336,0.00151336,0.00151336
228,500.111,0.86044,0.36141,0.00758,0.99908,0.96774,0.99406,0.72998,1.02555,0.28157,0.00829,0.00147729,0.00147729,0.00147729
229,502.802,0.80726,0.34519,0.00712,1,0.99966,0.995,0.73442,1.03831,0.28012,0.00857,0.00144161,0.00144161,0.00144161
230,505.41,0.7929,0.39398,0.00663,1,0.99862,0.995,0.73565,1.02612,0.28288,0.00838,0.00140632,0.00140632,0.00140632
231,508.773,0.85363,0.4486,0.0069,0.96859,0.99487,0.99406,0.73263,1.03783,0.29669,0.00844,0.00137143,0.00137143,0.00137143
232,511.386,0.78197,0.37584,0.00638,0.9391,0.99505,0.99221,0.73859,1.01665,0.31635,0.00836,0.00133695,0.00133695,0.00133695
233,513.874,0.84481,0.45162,0.00726,0.93915,0.99591,0.99221,0.74867,1.01661,0.31737,0.00835,0.00130287,0.00130287,0.00130287
234,516.492,0.76417,0.35477,0.00589,0.9391,0.99501,0.99125,0.75014,1.01793,0.31806,0.00827,0.00126921,0.00126921,0.00126921
235,519.034,0.86525,0.46461,0.00713,0.96771,0.9669,0.99221,0.74811,1.01192,0.31248,0.00827,0.00123596,0.00123596,0.00123596
236,521.719,0.75018,0.38911,0.00605,0.96863,0.99627,0.99406,0.74749,0.99902,0.29944,0.00813,0.00120313,0.00120313,0.00120313
237,524.271,0.7675,0.36379,0.00677,0.96864,0.99639,0.99406,0.75013,0.98773,0.29569,0.00806,0.00117072,0.00117072,0.00117072
238,527.024,0.84812,0.42471,0.00712,0.96603,1,0.99312,0.75749,0.97732,0.29919,0.00792,0.00113873,0.00113873,0.00113873
239,530.177,0.76831,0.36853,0.00594,0.9977,0.93548,0.99048,0.7503,0.96819,0.31393,0.00784,0.00110718,0.00110718,0.00110718
240,533.034,0.83849,0.4571,0.00712,1,0.94645,0.99318,0.76369,0.97063,0.30561,0.00776,0.00107605,0.00107605,0.00107605
241,535.34,0.79587,0.36897,0.00664,1,0.98532,0.995,0.76509,0.96701,0.29227,0.00771,0.00104537,0.00104537,0.00104537
242,538.088,0.80006,0.39064,0.00652,0.93774,1,0.995,0.76511,0.96259,0.29499,0.0077,0.00101512,0.00101512,0.00101512
243,540.652,0.82824,0.41669,0.00667,0.99994,0.96774,0.99318,0.75353,0.96211,0.29601,0.00776,0.000985311,0.000985311,0.000985311
244,543.232,0.81219,0.39837,0.00665,1,0.97913,0.995,0.74371,0.98298,0.29522,0.00791,0.000955951,0.000955951,0.000955951
245,546.087,0.79923,0.4138,0.00647,0.99593,1,0.995,0.74267,0.99414,0.28309,0.00803,0.00092704,0.00092704,0.00092704
246,548.856,0.78211,0.38544,0.00653,1,0.99484,0.995,0.74612,0.98936,0.28314,0.008,0.000898581,0.000898581,0.000898581
247,551.091,0.78498,0.34969,0.00661,0.96373,1,0.99406,0.75626,0.97911,0.27602,0.00793,0.000870577,0.000870577,0.000870577
248,553.622,0.80052,0.369,0.00603,0.96684,1,0.99,0.75166,0.98022,0.29375,0.00799,0.000843031,0.000843031,0.000843031
249,556.541,0.81538,0.38092,0.00736,0.96865,0.9967,0.99219,0.74397,0.98687,0.30374,0.00802,0.000815947,0.000815947,0.000815947
250,559.482,0.80029,0.37439,0.00616,0.96854,0.99331,0.99312,0.75286,0.99648,0.32071,0.00812,0.000789327,0.000789327,0.000789327
251,562.022,0.80096,0.40803,0.00658,0.96827,0.98456,0.99406,0.75799,0.99347,0.31998,0.00806,0.000763174,0.000763174,0.000763174
252,564.397,0.77261,0.39682,0.00652,0.96863,0.99607,0.99312,0.75449,1.00301,0.30312,0.00813,0.000737492,0.000737492,0.000737492
253,567.062,0.7494,0.33066,0.00596,0.96868,0.99764,0.99312,0.74505,1.01745,0.29172,0.00825,0.000712282,0.000712282,0.000712282
254,569.648,0.80308,0.40933,0.00651,0.96661,1,0.99312,0.74405,1.01174,0.27828,0.00827,0.000687548,0.000687548,0.000687548
255,572.215,0.80666,0.3769,0.00688,0.96628,1,0.99406,0.73829,1.00006,0.27621,0.0082,0.000663292,0.000663292,0.000663292
256,574.866,0.81417,0.47038,0.00604,0.96576,1,0.99312,0.75846,0.99341,0.28494,0.00808,0.000639518,0.000639518,0.000639518
257,577.274,0.75205,0.36451,0.0065,0.90914,1,0.9886,0.75523,0.9823,0.32625,0.00796,0.000616227,0.000616227,0.000616227
258,580.324,0.79505,0.35834,0.0073,0.9392,0.99676,0.99136,0.75192,0.99071,0.32782,0.00803,0.000593422,0.000593422,0.000593422
259,583.313,0.76926,0.37762,0.00695,0.95669,0.96774,0.99318,0.75691,0.99353,0.31079,0.00807,0.000571106,0.000571106,0.000571106
260,586.487,0.87865,0.44214,0.00754,0.9667,1,0.99406,0.75238,0.99508,0.2898,0.00808,0.000549281,0.000549281,0.000549281
261,589.348,0.80329,0.42009,0.00658,0.96341,1,0.99406,0.75268,0.99722,0.27691,0.00811,0.00052795,0.00052795,0.00052795
262,592.118,0.71955,0.38001,0.00627,1,0.99899,0.995,0.7617,0.99383,0.27107,0.0081,0.000507115,0.000507115,0.000507115
263,594.859,0.81373,0.41476,0.00686,0.99772,1,0.995,0.76,0.98462,0.2657,0.00807,0.000486777,0.000486777,0.000486777
264,597.551,0.73031,0.35172,0.00625,0.99587,1,0.995,0.75674,0.98271,0.27043,0.00798,0.000466941,0.000466941,0.000466941
265,600.064,0.69695,0.34519,0.0056,0.9924,1,0.995,0.75632,0.97018,0.26907,0.00788,0.000447606,0.000447606,0.000447606
266,602.714,0.81693,0.40816,0.0067,0.98173,1,0.995,0.75477,0.97172,0.27755,0.00786,0.000428777,0.000428777,0.000428777
267,605.769,0.75349,0.32618,0.00617,0.9948,1,0.995,0.7554,0.97622,0.27653,0.0079,0.000410454,0.000410454,0.000410454
268,608.311,0.83588,0.36617,0.00711,0.99284,1,0.995,0.76526,0.97874,0.28132,0.00788,0.00039264,0.00039264,0.00039264
269,611.034,0.71421,0.36435,0.00623,1,0.99647,0.995,0.7618,0.97576,0.27902,0.00784,0.000375337,0.000375337,0.000375337
270,613.693,0.82867,0.42348,0.00676,0.99972,1,0.995,0.76128,0.97138,0.27547,0.00782,0.000358546,0.000358546,0.000358546
271,616.675,0.79713,0.42139,0.00603,1,0.9923,0.995,0.76045,0.97209,0.27827,0.00784,0.00034227,0.00034227,0.00034227
272,619.121,0.73155,0.33643,0.00605,0.98933,1,0.995,0.7564,0.97589,0.27669,0.00788,0.00032651,0.00032651,0.00032651
273,621.799,0.70313,0.35499,0.00601,0.99838,1,0.995,0.75899,0.97497,0.27417,0.0079,0.000311268,0.000311268,0.000311268
274,624.14,0.78487,0.34638,0.00682,1,0.98727,0.995,0.75804,0.97977,0.27421,0.00794,0.000296546,0.000296546,0.000296546
275,627.078,0.74499,0.33391,0.0063,0.99716,1,0.995,0.75207,0.9868,0.27582,0.008,0.000282345,0.000282345,0.000282345
276,629.715,0.81419,0.37277,0.00703,1,0.96217,0.99406,0.75345,0.99077,0.28355,0.00809,0.000268667,0.000268667,0.000268667
277,632.241,0.79161,0.40196,0.00596,0.96506,1,0.99312,0.75279,0.99167,0.28855,0.00809,0.000255513,0.000255513,0.000255513
278,634.888,0.74444,0.35564,0.0061,0.95792,1,0.99312,0.75094,0.99638,0.29444,0.00809,0.000242885,0.000242885,0.000242885
279,637.244,0.80311,0.43499,0.00661,0.93451,1,0.99136,0.74934,0.98709,0.29969,0.00807,0.000230784,0.000230784,0.000230784
280,639.532,0.72061,0.34169,0.00595,0.93417,1,0.99036,0.74776,0.98723,0.30694,0.00805,0.000219212,0.000219212,0.000219212
281,641.845,0.77341,0.37348,0.00652,0.93315,1,0.99136,0.74756,0.978,0.30037,0.00804,0.000208169,0.000208169,0.000208169
282,644.299,0.82043,0.36624,0.00694,0.9349,1,0.99036,0.74818,0.97561,0.30869,0.00801,0.000197658,0.000197658,0.000197658
283,646.784,0.75097,0.39907,0.00615,0.93529,1,0.98955,0.74626,0.97894,0.31496,0.00802,0.000187678,0.000187678,0.000187678
284,649.367,0.74815,0.41077,0.0062,0.93567,1,0.98955,0.74698,0.97592,0.32379,0.00799,0.000178232,0.000178232,0.000178232
285,651.571,0.73505,0.31421,0.00599,0.93518,1,0.98851,0.74418,0.98225,0.32496,0.008,0.00016932,0.00016932,0.00016932
286,654.048,0.80508,0.40297,0.00638,0.93502,1,0.98773,0.74389,0.98333,0.32619,0.008,0.000160943,0.000160943,0.000160943
287,656.767,0.73197,0.31531,0.00633,0.93495,1,0.98713,0.74338,0.98261,0.32906,0.008,0.000153102,0.000153102,0.000153102
288,659.152,0.80071,0.41284,0.00593,0.93712,1,0.98713,0.7444,0.97996,0.32255,0.00796,0.000145798,0.000145798,0.000145798
289,661.488,0.78618,0.38065,0.00704,0.93618,1,0.98851,0.74577,0.97578,0.31569,0.00795,0.000139032,0.000139032,0.000139032
290,663.895,0.71327,0.3286,0.00569,0.93551,1,0.98851,0.74703,0.97028,0.31018,0.00795,0.000132805,0.000132805,0.000132805
291,701.103,0.54543,0.21891,0.00499,0.93593,1,0.98851,0.7469,0.9718,0.33086,0.00794,0.000127117,0.000127117,0.000127117
292,702.697,0.55163,0.23549,0.00522,0.93868,0.98792,0.99028,0.74869,0.97542,0.32322,0.008,0.000121968,0.000121968,0.000121968
293,704.246,0.5621,0.22246,0.00564,0.96774,0.96767,0.98945,0.74354,0.97687,0.31863,0.008,0.00011736,0.00011736,0.00011736
294,705.898,0.5901,0.25112,0.00568,0.96843,0.98964,0.99125,0.74594,0.98083,0.31477,0.008,0.000113293,0.000113293,0.000113293
295,707.656,0.57409,0.2263,0.00591,0.95751,1,0.99125,0.74548,0.97815,0.31205,0.00798,0.000109768,0.000109768,0.000109768
296,709.651,0.59928,0.2443,0.00676,0.95917,1,0.99219,0.74108,0.98201,0.31225,0.00797,0.000106784,0.000106784,0.000106784
297,711.134,0.5534,0.24247,0.00555,0.96226,1,0.99125,0.74595,0.98299,0.31518,0.00797,0.000104342,0.000104342,0.000104342
298,712.922,0.58908,0.24316,0.00636,0.9361,0.94536,0.98848,0.74217,0.97751,0.33644,0.00795,0.000102443,0.000102443,0.000102443
299,714.427,0.59222,0.22711,0.00583,0.96743,0.95849,0.98867,0.73607,0.9781,0.32632,0.00798,0.000101086,0.000101086,0.000101086
300,716.219,0.55822,0.21953,0.0054,0.96749,0.96016,0.98964,0.73541,0.97584,0.32415,0.00795,0.000100271,0.000100271,0.000100271
